G2V	RVS_T05750G45P00V000K2SNWNVRVSF	
8439.6643      8780.2676
8110	2.29011E-09
8115	2.27927E-09
8120	2.27491E-09
8125	2.28249E-09
8130	2.27383E-09
8135	2.26032E-09
8140	2.24545E-09
8145	2.22434E-09
8150	2.20996E-09
8155	2.20905E-09
8160	2.20058E-09
8165	2.1753E-09
8170	2.17129E-09
8175	2.17426E-09
8180	2.16417E-09
8185	2.15374E-09
8190	2.15291E-09
8195	2.11342E-09
8200	2.12118E-09
8205	2.19226E-09
8210	2.22123E-09
8215	2.20989E-09
8220	2.16163E-09
8225	2.11909E-09
8230	2.08016E-09
8235	2.13484E-09
8240	2.18748E-09
8245	2.2006E-09
8250	2.20044E-09
8255	2.18278E-09
8260	2.19235E-09
8265	2.2145E-09
8270	2.20932E-09
8275	2.16989E-09
8280	2.15129E-09
8285	2.15586E-09
8290	2.14875E-09
8295	2.14897E-09
8300	2.15213E-09
8305	2.14606E-09
8310	2.1434E-09
8315	2.14136E-09
8320	2.1362E-09
8325	2.13133E-09
8330	2.10934E-09
8335	2.09602E-09
8340	2.09671E-09
8345	2.10993E-09
8350	2.13921E-09
8355	2.15838E-09
8360	2.14985E-09
8365	2.14112E-09
8370	2.1394E-09
8375	2.14082E-09
8380	2.13587E-09
8385	2.10818E-09
8390	2.10357E-09
8395	2.12996E-09
8400	2.14226E-09
8405	2.1332E-09
8410	2.1271E-09
8415	2.12287E-09
8420	2.11562E-09
8425	2.11222E-09
8430	2.11377E-09
8435	2.09674E-09
8439.6643	1.81E-09
8440.0312	2.03E-09
8440.3982	2.09E-09
8440.7651	2.09E-09
8441.1321	2.11E-09
8441.4991	2.11E-09
8441.8662	2.10E-09
8442.2332	2.11E-09
8442.6002	2.12E-09
8442.9673	2.12E-09
8443.3344	2.11E-09
8443.7015	2.05E-09
8444.0686	2.01E-09
8444.4358	2.06E-09
8444.8029	2.10E-09
8445.1701	2.11E-09
8445.5372	2.10E-09
8445.9044	2.04E-09
8446.2717	1.87E-09
8446.6389	1.86E-09
8447.0061	2.02E-09
8447.3734	2.10E-09
8447.7407	2.10E-09
8448.108	2.11E-09
8448.4753	2.12E-09
8448.8426	2.12E-09
8449.2099	2.11E-09
8449.5773	2.09E-09
8449.9447	2.05E-09
8450.3121	2.06E-09
8450.6795	2.08E-09
8451.0469	2.08E-09
8451.4143	2.11E-09
8451.7818	2.11E-09
8452.1492	2.10E-09
8452.5167	2.11E-09
8452.8842	2.11E-09
8453.2517	2.11E-09
8453.6193	2.11E-09
8453.9868	2.11E-09
8454.3544	2.11E-09
8454.722	2.11E-09
8455.0896	2.10E-09
8455.4572	2.09E-09
8455.8248	2.09E-09
8456.1925	2.09E-09
8456.5601	2.09E-09
8456.9278	2.08E-09
8457.2955	2.09E-09
8457.6632	2.10E-09
8458.0309	2.10E-09
8458.3987	2.10E-09
8458.7664	2.05E-09
8459.1342	2.04E-09
8459.502	2.09E-09
8459.8698	2.09E-09
8460.2376	2.09E-09
8460.6054	2.10E-09
8460.9733	2.11E-09
8461.3412	2.10E-09
8461.709	2.10E-09
8462.0769	2.11E-09
8462.4449	2.11E-09
8462.8128	2.11E-09
8463.1807	2.10E-09
8463.5487	2.08E-09
8463.9167	2.07E-09
8464.2847	2.09E-09
8464.6527	2.10E-09
8465.0207	2.09E-09
8465.3888	2.08E-09
8465.7568	2.06E-09
8466.1249	2.05E-09
8466.493	2.04E-09
8466.8611	2.07E-09
8467.2292	2.08E-09
8467.5974	2.08E-09
8467.9655	1.94E-09
8468.3337	1.60E-09
8468.7019	1.80E-09
8469.0701	2.05E-09
8469.4383	2.09E-09
8469.8065	2.09E-09
8470.1748	2.09E-09
8470.5431	2.10E-09
8470.9113	2.09E-09
8471.2797	2.05E-09
8471.648	1.94E-09
8472.0163	1.99E-09
8472.3846	2.07E-09
8472.753	2.09E-09
8473.1214	2.10E-09
8473.4898	2.07E-09
8473.8582	2.07E-09
8474.2266	2.09E-09
8474.5951	2.10E-09
8474.9635	2.10E-09
8475.332	2.10E-09
8475.7005	2.10E-09
8476.069	2.10E-09
8476.4375	2.09E-09
8476.8061	2.09E-09
8477.1746	2.09E-09
8477.5432	2.09E-09
8477.9118	2.09E-09
8478.2804	2.09E-09
8478.649	2.09E-09
